FacultyID,Category,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12
Faculty1,x3,FDELE - PHY F312 - STATISTICAL MECHANICS,HDCDC - ME F314 - DESIGN OF MACHINE ELEMENTS,HDELE - ME G532 - MACHINE TOOL ENGINEERING,FDCDC - MATH F212 - OPTIMIZATION,FDELE - PHY F420 - QUANTUM OPTICS,FDCDC - ECE F491 - SPECIAL PROJECT,FDCDC - ECON F312 - MONEY BANK & FIN MARKETS,HDCDC - MEL G611 - I C FABRICATION TECH,HDELE - BIO G512 - MOLEC MECH OF GENE EXPRE,FDELE - ECE F376 - DESIGN PROJECT,FDCDC - EEE F366 - LABORATORY PROJECT,FDELE - EEE F376 - DESIGN PROJECT
Faculty2,x3,HDELE - ME G532 - MACHINE TOOL ENGINEERING,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDELE - PHY F213 - OPTICS,FDCDC - BITS F417 - MICRO-FLUIDICS & ITS APP,FDCDC - CHE F421 - BIOCHEMICAL ENGINEERING,HDELE - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDELE - PHY F312 - STATISTICAL MECHANICS,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,HDCDC - CS G553 - RECONFIGURABLE COMPUTING,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV
Faculty3,x2,FDELE - HSS F227 - CROSS CULTURAL SKILLS,HDELE - BITS G629T - DISSERTATION,HDELE - BITS G654 - ADV INSTRUMENTATION TECH,HDCDC - ME F314 - DESIGN OF MACHINE ELEMENTS,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDCDC - ECE F491 - SPECIAL PROJECT,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,FDCDC - PHY F315 - THEORY OF RELATIVITY,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV
Faculty4,x3,HDELE - ME G532 - MACHINE TOOL ENGINEERING,FDELE - CS F441 - SELECTED TOPICS FROM COMP SCI,FDELE - MATH F214 - ELEMENTARY REAL ANALYSIS,FDCDC - EEE F366 - LABORATORY PROJECT,FDCDC - BITS F417 - MICRO-FLUIDICS & ITS APP,HDCDC - ME F423 - MICRO-FLUIDICS & ITS APP,HDELE - MEL G631 - PHY & MO OF MICROEL DEV,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDCDC - PHY F315 - THEORY OF RELATIVITY,FDELE - PHY F420 - QUANTUM OPTICS,FDELE - PHY F213 - OPTICS,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS
Faculty5,x3,HDELE - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS,HDELE - BIO G512 - MOLEC MECH OF GENE EXPRE,FDELE - MATH F214 - ELEMENTARY REAL ANALYSIS,FDCDC - BITS F417 - MICRO-FLUIDICS & ITS APP,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDELE - HSS F227 - CROSS CULTURAL SKILLS,FDCDC - ECE F491 - SPECIAL PROJECT,HDCDC - ME F423 - MICRO-FLUIDICS & ITS APP,FDELE - PHY F312 - STATISTICAL MECHANICS,HDCDC - MEL G611 - I C FABRICATION TECH,FDELE - EEE F376 - DESIGN PROJECT,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS
Faculty6,x3,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,FDCDC - BITS F417 - MICRO-FLUIDICS & ITS APP,FDELE - PHY F420 - QUANTUM OPTICS,HDELE - BITS G654 - ADV INSTRUMENTATION TECH,FDCDC - MATH F212 - OPTIMIZATION,HDCDC - MEL G611 - I C FABRICATION TECH,FDCDC - EEE F366 - LABORATORY PROJECT,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS,FDELE - MATH F214 - ELEMENTARY REAL ANALYSIS,HDELE - ME G532 - MACHINE TOOL ENGINEERING,HDCDC - ME F423 - MICRO-FLUIDICS & ITS APP
Faculty7,x3,FDELE - PHY F213 - OPTICS,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,HDELE - BIO G512 - MOLEC MECH OF GENE EXPRE,HDELE - BITS G654 - ADV INSTRUMENTATION TECH,FDCDC - ECE F491 - SPECIAL PROJECT,HDCDC - MEL G611 - I C FABRICATION TECH,HDCDC - ME F423 - MICRO-FLUIDICS & ITS APP,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDELE - ECE F376 - DESIGN PROJECT,FDCDC - BITS F417 - MICRO-FLUIDICS & ITS APP,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV
Faculty8,x3,HDELE - BITS G654 - ADV INSTRUMENTATION TECH,FDCDC - ECE F491 - SPECIAL PROJECT,FDELE - PHY F312 - STATISTICAL MECHANICS,FDELE - PHY F213 - OPTICS,FDELE - MATH F214 - ELEMENTARY REAL ANALYSIS,HDELE - MEL G631 - PHY & MO OF MICROEL DEV,FDELE - ECE F376 - DESIGN PROJECT,HDCDC - EEE G626 - HARDWARE SOFTWARE CO-DESIGN,FDCDC - EEE F311 - COMMUNICATION SYSTEMS,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS
Faculty9,x1,FDCDC - CHE F421 - BIOCHEMICAL ENGINEERING,HDCDC - CS G553 - RECONFIGURABLE COMPUTING,FDELE - ECON F213 - MATHEMATIC & STAT METHOD,FDCDC - ECON F312 - MONEY BANK & FIN MARKETS,FDELE - PHY F312 - STATISTICAL MECHANICS,HDELE - MEL G631 - PHY & MO OF MICROEL DEV,FDCDC - EEE F311 - COMMUNICATION SYSTEMS,FDCDC - CHEM F376 - DESIGN PROJECT,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,HDELE - BITS G654 - ADV INSTRUMENTATION TECH,HDCDC - EEE G626 - HARDWARE SOFTWARE CO-DESIGN,FDELE - MATH F214 - ELEMENTARY REAL ANALYSIS
Faculty10,x3,FDCDC - CHEM F376 - DESIGN PROJECT,HDCDC - ME G512 - FINITE ELEMENT METHOD,HDELE - MEL G631 - PHY & MO OF MICROEL DEV,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV,FDELE - PHY F213 - OPTICS,HDCDC - ME F423 - MICRO-FLUIDICS & ITS APP,FDCDC - MATH F212 - OPTIMIZATION,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,HDELE - BITS G629T - DISSERTATION,FDELE - ECE F376 - DESIGN PROJECT,FDCDC - ECON F312 - MONEY BANK & FIN MARKETS
