BIO F110,BIOLOGICAL LABORATORY,
BIO F111,GENERAL BIOLOGY,
BIO F211,BIOLOGICAL CHEMISTRY,
BIO F212,MICROBIOLOGY,
BIO F213,CELL BIOLOGY,
BIO F214,INTEGRATED BIOLOGY,
BIO F216,"WATER,SANITATION & SOLID WASTE",
BIO F217,"LAB FOR WATER, SANITATION & SOLID WASTE",
BIO F266,STUDY PROJECT,
BIO F311,RECOMBINANT DNA TECH,
BIO F312,PLANT PHYSIOLOGY,
BIO F313,ANIMAL PHYSIOLOGY,
BIO F366,LABORATORY PROJECT,
BIO F376,DESIGN PROJECT,
BIO F417,BIOMOLECULAR MODELING,
BIO F418,GENETIC ENGINEERING TECH,
BIO F491,SPECIAL PROJECT,
BITS F110,ENGINEERING GRAPHICS,
BITS F112,TECH REPORT WRITING,
BITS F225,ENVIRONMENTAL STUDIES,
BITS F314,GAME THEORY & ITS APPLICATION,
BITS F315,INTRODUCTION TO COGNITIVE NEUR,
BITS F316,NONLINEAR DYNAMICS AND CHAOS,
BITS F382,READING COURSE,
BITS F415,INTRODUCTION TO MEMS,
BITS F417,MICRO-FLUIDICS & ITS APP,
BITS F437,TECHNICAL COMMUNICATION,
BITS F441,ROBOTICS,
BITS F452,BLOCKCHAIN TECHNOLOGY,
BITS F464,MACHINE LEARNING,
BITS F467,BIOETHICS & BIOSAFETY,
CHE F211,CHEMICAL PROCESS CALCULATION,
CHE F212,FLUID MECHANICS,
CHE F213,CHEM ENGG THERMODYNAMICS,
CHE F214,ENGINEERING CHEMISTRY,
CHE F266,STUDY PROJECT,
CHE F311,KINETICS & REACTOR DESIG,
CHE F312,CHEMICAL ENGG LAB I,
CHE F313,SEPARATION PROCESSES II,
CHE F314,PROCESS DES PRINCIPLES I,
CHE F366,LABORATORY PROJECT,
CHE F376,DESIGN PROJECT,
CHE F414,TRANSPORT PHENOMENA,
CHE F421,BIOCHEMICAL ENGINEERING,
CHE F422,PETROLEUM REFINING TECHNOLOGY,
CHE F433,CORROSION ENGINEERING,
CHE F491,SPECIAL PROJECTS,
CHEM F110,CHEMISTRY LABORATORY,
CHEM F111,GENERAL CHEMISTRY,
CHEM F211,PHYSICAL CHEMISTRY I,
CHEM F212,ORGANIC CHEMISTRY I,
CHEM F213,PHYSICAL CHEMISTRY II,
CHEM F214,INORGANIC CHEMISTRY I,
CHEM F266,STUDY PROJECT,
CHEM F311,ORGANIC CHEMISTRY III,
CHEM F312,PHYSICAL CHEMISTRY IV,
CHEM F313,INSTRU METHODS OF ANAL,
CHEM F330,PHOTOPHYSICAL CHEMISTRY,
CHEM F333,CHEMISTRY OF MATERIALS,
CHEM F335,ORGANIC CHEM & DRUG DES,
CHEM F366,LABORATORY PROJECT,
CHEM F376,DESIGN PROJECT,
CHEM F431,SUSTAINABLE CHEMISTRY USING RENEWABLES,
CHEM F491,SPECIAL PROJECT,
CS F213,OBJECT ORIENTED PROG,
CS F214,LOGIC IN COMPUTER SC,
CS F215,DIGITAL DESIGN,
CS F222,DISCR STRUC FOR COMP SCI,
CS F266,STUDY PROJECT,
CS F301,PRINCIPLES OF PROGG LANG,
CS F314,SOFT DEV FOR PORT DEVICE,
CS F320,FOUNDATIONS OF DATA SCIENCE,
CS F342,COMPUTER ARCHITECTURE,
CS F351,THEORY OF COMPUTATION,
CS F366,LABORATORY PROJECT,
CS F372,OPERATING SYSTEMS,
CS F376,DESIGN PROJECT,
CS F402,COMPUTATIONAL GEOMETRY,
CS F407,ARTIFICIAL INTELLIGENCE,
CS F422,PARALLEL COMPUTING,
CS F429,NATURAL LANG PROCESS,
CS F441,SELECTED TOPICS FROM COMP SCI,
CS F446,DATA STORAGE TECH & NETW,
CS F468,INFORMATION SECURITY PROJECT,
CS F491,SPECIAL PROJECT,
ECE F266,STUDY PROJECT,
ECE F314,EM FIELDS & MICRO ENGG,
ECE F366,LABORATORY PROJECT,
ECE F376,DESIGN PROJECT,
ECE F434,DIGITAL SIGNAL PROCESS,
ECE F491,SPECIAL PROJECT,
ECON F211,PRINCIPLES OF ECONOMICS,
ECON F212,FUNDA OF FIN AND ACCOUNT,
ECON F213,MATHEMATIC & STAT METHOD,
ECON F214,ECONOMIC ENV OF BUSINESS,
ECON F266,STUDY ORIENTED PROJECT,
ECON F311,INTERNATIONAL ECONOMICS,
ECON F312,MONEY BANK & FIN MARKETS,
