FacultyID  ,Category ,Preference 1                                                    ,Preference 2                                                    ,Preference 3                                                    ,Preference 4                                                 ,Preference 5                                                    ,Preference 6                                                    ,Preference 7                                                    ,Preference 8                                                    ,Preference 9                                               ,Preference 10                                                ,Preference 11                                                ,Preference 12

1   ,x3       ,FDELE - PHY F266 - STUDY PROJECT                                ,FDCDC - HSS F340 - POST COLONIAL LITERATURES                    ,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS                        ,FDELE - HSS F371 - CITIES-LIFE ISSUES & CONFLICTS            ,FDCDC - MATH F214 - ELEMENTARY REAL ANALYSIS                    ,HDELE - BIO G542 - ADVANCED CELL MOLE BIO                       ,HDELE - ME F112 - WORKSHOP PRACTICE                             ,FDELE - BIO F491 - SPECIAL PROJECT                              ,HDCDC - CHEM G521 - ENVIRONMENTAL CHEMISTRY                ,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO            ,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS                 ,HDCDC - BIO G515 - STEM CELL & REGENER BIO
2   ,x2       ,FDELE - PHY F315 - THEORY OF RELATIVITY                         ,FDCDC - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY         ,HDCDC - CS G526 - ADV ALGO & COMPLEXITY                         ,HDELE - MEL G623 - ADVANCED VLSI DESIGN                      ,FDELE - ECON F366 - LABORATORY PROJECT                          ,HDELE - BIO G523 - ADV & APPLIED MICROBIO                       ,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV                      ,FDCDC - MATH F353 - STATISTICAL INFER & APP                     ,FDELE - FIN F414 - FINANCIAL RISK ANALY & MANAG            ,FDCDC - CHE F433 - CORROSION ENGINEERING                     ,FDELE - HSS F371 - CITIES-LIFE ISSUES & CONFLICTS            ,FDCDC - BIO F110 - BIOLOGICAL LABORATORY
3   ,x3       ,HDELE - ME F266 - STUDY PROJECT                                 ,FDELE - BIO F266 - STUDY PROJECT                                ,HDELE - EEE G581 - RF AND MICROWAVE ENGG                        ,FDELE - BIO F417 - BIOMOLECULAR MODELING                     ,FDCDC - CHE F314 - PROCESS DES PRINCIPLES I                     ,FDELE - CS F213 - OBJECT ORIENTED PROG                          ,FDELE - HSS F363 - DISASTER AND DEVELOPMENT                     ,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY                    ,HDCDC - EEE G512 - EMBEDDED SYSTEM DESIGN                  ,HDCDC - BITS G540 - RESEARCH PRACTICE                        ,FDCDC - GS F326 - CREATIVE THINKING                          ,FDCDC - CHE F366 - LABORATORY PROJECT
4   ,x3       ,FDCDC - BIO F213 - CELL BIOLOGY                                 ,HDELE - CHE G613 - ADVANCED MASS TRANSFER                       ,HDELE - BITS G539 - RESEARCH PROJECT II                         ,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH                   ,FDCDC - ECON F315 - FINANCIAL MANAGEMENT                        ,FDELE - CS F301 - PRINCIPLES OF PROGG LANG                      ,HDCDC - EEE G512 - EMBEDDED SYSTEM DESIGN                       ,FDCDC - HSS F340 - POST COLONIAL LITERATURES                    ,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND          ,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY                    ,FDCDC - PHY F366 - LABORATORY PROJECT                        ,HDCDC - ME F315 - ADVANCED MANUFACTURING PROCESS
5   ,x1       ,HDELE - CS G623 - ADVANCED OPERAT SYSTEMS                       ,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS                 ,FDCDC - CS F376 - DESIGN PROJECT                                ,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS                     ,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND               ,FDCDC - CHEM F312 - PHYSICAL CHEMISTRY IV                       ,HDCDC - CS G525 - ADV COMPUTER NETWORKS                         ,HDELE - ME G515 - COMPUT FLUID DYNAMICS                         ,FDELE - HSS F332 - CINEMATIC ART                           ,FDCDC - MATH F214 - ELEMENTARY REAL ANALYSIS                 ,FDELE - PHY F376 - DESIGN PROJECT                            ,FDELE - FIN F414 - FINANCIAL RISK ANALY & MANAG
6   ,x2       ,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY                       ,FDCDC - PHY F311 - QUANTUM MECHANICS II                         ,HDELE - ME G512 - FINITE ELEMENT METHOD                         ,FDCDC - CHE F366 - LABORATORY PROJECT                        ,FDELE - CHEM F431 - SUSTAINABLE CHEMISTRY USING RENEWABLES      ,HDELE - BIO G514 - MOLECULAR IMMUNOLOGY                         ,FDELE - EEE F477 - MODEL OF FIELD-EFFECT NANODEV                ,FDCDC - ECE F366 - LABORATORY PROJECT                           ,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT                ,FDCDC - CS F422 - PARALLEL COMPUTING                         ,FDELE - CHE F312 - CHEMICAL ENGG LAB I                       ,HDCDC - ME F217 - APPLIED THERMODYNAMICS
7   ,x2       ,FDELE - EEE F376 - DESIGN PROJECT                               ,FDELE - MATH F421 - COMBINATORIAL MATHS                         ,FDELE - EEE F491 - SPECIAL PROJECT                              ,HDCDC - ME G532 - MACHINE TOOL ENGINEERING                   ,FDCDC - HSS F340 - POST COLONIAL LITERATURES                    ,FDCDC - EEE F266 - STUDY PROJECT                                ,HDCDC - ME F212 - FLUID MECHANICS                               ,FDELE - ECON F355 - BUSS ANAL & VALUATION                       ,FDCDC - CHEM F312 - PHYSICAL CHEMISTRY IV                  ,HDELE - CHE G622 - ADV CHEMICAL ENGG THERMO                  ,HDELE - CS G527 - CLOUD COMPUTING                            ,FDCDC - CHE F314 - PROCESS DES PRINCIPLES I
8   ,x3       ,HDELE - BIO G542 - ADVANCED CELL MOLE BIO                       ,FDELE - BITS F112 - TECH REPORT WRITING                         ,FDCDC - MATH F366 - LABORATORY PROJECT                          ,FDCDC - PHY F366 - LABORATORY PROJECT                        ,HDELE - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS ,HDCDC - MEL G621 - VLSI DESIGN                                  ,FDELE - BITS F415 - INTRODUCTION TO MEMS                        ,FDELE - PHY F211 - CLASSICAL MECHANICS                          ,FDCDC - GS F231 - DYN OF SOCIAL CHANGE                     ,HDCDC - CHEM G521 - ENVIRONMENTAL CHEMISTRY                  ,FDELE - CHE F214 - ENGINEERING CHEMISTRY                     ,FDCDC - CHEM F312 - PHYSICAL CHEMISTRY IV
9   ,x3       ,FDCDC - CS F422 - PARALLEL COMPUTING                            ,FDELE - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS         ,FDELE - EEE F477 - MODEL OF FIELD-EFFECT NANODEV                ,HDELE - BIO G514 - MOLECULAR IMMUNOLOGY                      ,FDCDC - HSS F233 - MAIN TRENDS IN INDIAN HISTORY                ,FDELE - PHY F346 - LASER SCIENCE AND TECHNOLOGY                 ,FDCDC - CHEM F313 - INSTRU METHODS OF ANAL                      ,HDCDC - ME G535 - ADV ENGG MATHEMATICS                          ,HDCDC - CHEM G521 - ENVIRONMENTAL CHEMISTRY                ,FDCDC - EEE F418 - MOD COMMUNICATION TECH                    ,HDELE - ME G515 - COMPUT FLUID DYNAMICS                      ,FDELE - HSS F371 - CITIES-LIFE ISSUES & CONFLICTS
