FacultyID,Category,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12
Faculty1,x1,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,HDELE - ME G512 - FINITE ELEMENT METHOD,FDCDC - BIO F214 - INTEGRATED BIOLOGY,FDELE - HSS F235 - INTRODUCTORY PHILOSOPHY,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - PHY F315 - THEORY OF RELATIVITY,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDELE - GS F231 - DYN OF SOCIAL CHANGE,FDELE - EEE F215 - DIGITAL DESIGN,FDCDC - ECON F355 - BUSS ANAL & VALUATION
Faculty2,x3,FDELE - ECON F211 - PRINCIPLES OF ECONOMICS,FDELE - CS F402 - COMPUTATIONAL GEOMETRY,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDELE - HSS F235 - INTRODUCTORY PHILOSOPHY,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDCDC - BIO F214 - INTEGRATED BIOLOGY,HDELE - BITS G619 - PROFESSIONAL PRACTICE,HDCDC - BIO G526 - CANCER BIOLOGY,HDELE - ME G512 - FINITE ELEMENT METHOD,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I
Faculty3,x3,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDCDC - ECON F491 - SPECIAL PROJECT,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - EEE F428 - ENERGY STORAGE SYSTEMS,FDELE - ECON F211 - PRINCIPLES OF ECONOMICS,FDELE - HSS F235 - INTRODUCTORY PHILOSOPHY,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDELE - GS F231 - DYN OF SOCIAL CHANGE,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - BIO F214 - INTEGRATED BIOLOGY
Faculty4,x1,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDCDC - ECON F491 - SPECIAL PROJECT,FDELE - CS F402 - COMPUTATIONAL GEOMETRY,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - EEE F215 - DIGITAL DESIGN,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,HDCDC - BIO G526 - CANCER BIOLOGY,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,HDELE - ME G512 - FINITE ELEMENT METHOD,FDELE - ECON F211 - PRINCIPLES OF ECONOMICS
Faculty5,x3,FDELE - EEE F215 - DIGITAL DESIGN,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - ECON F211 - PRINCIPLES OF ECONOMICS,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDELE - HSS F235 - INTRODUCTORY PHILOSOPHY,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,HDELE - ME G512 - FINITE ELEMENT METHOD,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - BIO F214 - INTEGRATED BIOLOGY,FDCDC - ECON F491 - SPECIAL PROJECT,FDCDC - ECON F355 - BUSS ANAL & VALUATION
Faculty6,x2,FDELE - EEE F215 - DIGITAL DESIGN,FDCDC - BIO F214 - INTEGRATED BIOLOGY,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,FDELE - ECON F211 - PRINCIPLES OF ECONOMICS,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDCDC - EEE F428 - ENERGY STORAGE SYSTEMS,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - GS F231 - DYN OF SOCIAL CHANGE,HDELE - ME G512 - FINITE ELEMENT METHOD
Faculty7,x2,HDCDC - BIO G526 - CANCER BIOLOGY,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDCDC - ECON F491 - SPECIAL PROJECT,HDELE - ME G512 - FINITE ELEMENT METHOD,FDCDC - ECON F355 - BUSS ANAL & VALUATION,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - HSS F235 - INTRODUCTORY PHILOSOPHY,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,FDELE - EEE F215 - DIGITAL DESIGN,FDELE - CS F402 - COMPUTATIONAL GEOMETRY,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I
Faculty8,x3,FDCDC - BIO F214 - INTEGRATED BIOLOGY,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS,FDCDC - ECON F355 - BUSS ANAL & VALUATION,FDELE - PHY F315 - THEORY OF RELATIVITY,HDELE - BITS G619 - PROFESSIONAL PRACTICE,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDELE - EEE F215 - DIGITAL DESIGN,HDCDC - BIO G526 - CANCER BIOLOGY,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDELE - GS F231 - DYN OF SOCIAL CHANGE,HDELE - BIO G515 - STEM CELL & REGENER BIO
Faculty9,x3,FDCDC - EEE F428 - ENERGY STORAGE SYSTEMS,FDELE - EEE F215 - DIGITAL DESIGN,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,FDCDC - BIO F214 - INTEGRATED BIOLOGY,HDELE - BIO G515 - STEM CELL & REGENER BIO,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - GS F231 - DYN OF SOCIAL CHANGE,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDCDC - ECON F491 - SPECIAL PROJECT,FDELE - CS F402 - COMPUTATIONAL GEOMETRY
Faculty10,x3,HDELE - ME G512 - FINITE ELEMENT METHOD,FDELE - CS F402 - COMPUTATIONAL GEOMETRY,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDCDC - CHEM F214 - INORGANIC CHEMISTRY I,FDELE - GS F231 - DYN OF SOCIAL CHANGE,FDELE - PHY F315 - THEORY OF RELATIVITY,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDELE - HSS F338 - COMPARATIVE INDIAN LITERATURE,HDCDC - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - ECON F355 - BUSS ANAL & VALUATION,FDCDC - EEE F428 - ENERGY STORAGE SYSTEMS,HDELE - BITS G619 - PROFESSIONAL PRACTICE
